placeholder1,placeholder2,placeholder3,placeholder4,placeholder5,placeholder6,placeholder7,placeholder8,placeholder9,placeholder10,placeholder11,placeholder12,placeholder13,placeholder14,placeholder15,placeholder16,placeholder17,placeholder18,placeholder19,placeholder20,placeholder21,placeholder22,placeholder23,placeholder24,placeholder25,placeholder26,placeholder27,placeholder28,placeholder29,placeholder30,placeholder31,placeholder32,placeholder33,placeholder34,placeholder35,placeholder36,placeholder37,placeholder38,placeholder39,placeholder40,placeholder41,placeholder42,placeholder43,placeholder44,placeholder45,placeholder46,placeholder47,placeholder48
&#9312;,1,14,,7,1,¿Considera apropiado el uso de Trombolisis vs Placebo para Reducir la mortalidad por causas cardiovasculares?,Pacientes adultos con infarto agudo de miocardio,Trombolisis,Placebo,Reducir la mortalidad por causas cardiovasculares,,,,,,,,,,,,,,,,,,white,white,white,white,white,white,white,white,white,,,,,,,,,,,
&#9312;,2,14,,14,2,¿Considera apropiado el uso de Trombolisis vs Referencia a centro con angioplastía primaria para Reducir la mortalidad por causas cardiovasculares?,Pacientes adultos con infarto agudo de miocardio,Trombolisis,Referencia a centro con angioplastía primaria,Reducir la mortalidad por causas cardiovasculares,,,,,,,,,,,,,,,,,,white,white,white,white,white,white,white,white,white,,,,,,,,,,,
&#9312;,3,14,,21,3,¿Considera apropiado el uso de Trombolisis vs Placebo para Reducir la mortalidad por todas las causas?,Pacientes adultos con infarto agudo de miocardio,Trombolisis,Placebo,Reducir la mortalidad por todas las causas,,,,,,,,,,,,,,,,,,white,white,white,white,white,white,white,white,white,,,,,,,,,,,
&#9312;,4,14,,29,4,¿Considera apropiado el uso de Trombolisis vs Referencia a centro con angioplastía primaria para Reducir la mortalidad por todas las causas?,Pacientes adultos con infarto agudo de miocardio,Trombolisis,Referencia a centro con angioplastía primaria,Reducir la mortalidad por todas las causas,,,,,,,,,,,,,,,,,,white,white,white,white,white,white,white,white,white,,,,,,,,,,,
&#9312;,5,14,,36,5,¿Considera apropiado el uso de Trombolisis vs Placebo para Reducir la estancia hospitalaria?,Pacientes adultos con infarto agudo de miocardio,Trombolisis,Placebo,Reducir la estancia hospitalaria,,,,,,,,,,,,,,,,,,white,white,white,white,white,white,white,white,white,,,,,,,,,,,
&#9312;,6,14,,43,6,¿Considera apropiado el uso de Trombolisis vs Referencia a centro con angioplastía primaria para Reducir la estancia hospitalaria?,Pacientes adultos con infarto agudo de miocardio,Trombolisis,Referencia a centro con angioplastía primaria,Reducir la estancia hospitalaria,,,,,,,,,,,,,,,,,,white,white,white,white,white,white,white,white,white,,,,,,,,,,,
&#9312;,7,14,,50,7,¿Considera apropiado el uso de Trombolisis vs Placebo para Reducir el riesgo de insuficiencia cardiaca con reducción de la fracción de eyección?,Pacientes adultos con infarto agudo de miocardio,Trombolisis,Placebo,Reducir el riesgo de insuficiencia cardiaca con reducción de la fracción de eyección,,,,,,,,,,,,,,,,,,white,white,white,white,white,white,white,white,white,,,,,,,,,,,
&#9312;,8,14,,57,8,¿Considera apropiado el uso de Trombolisis vs Referencia a centro con angioplastía primaria para Reducir el riesgo de insuficiencia cardiaca con reducción de la fracción de eyección?,Pacientes adultos con infarto agudo de miocardio,Trombolisis,Referencia a centro con angioplastía primaria,Reducir el riesgo de insuficiencia cardiaca con reducción de la fracción de eyección,,,,,,,,,,,,,,,,,,white,white,white,white,white,white,white,white,white,,,,,,,,,,,
&#9312;,9,14,,64,9,¿Considera apropiado el uso de Trombolisis vs Placebo para Reducir el riesgo de insuficiencia cardiaca sin reducción de la fracción de eyección?,Pacientes adultos con infarto agudo de miocardio,Trombolisis,Placebo,Reducir el riesgo de insuficiencia cardiaca sin reducción de la fracción de eyección,,,,,,,,,,,,,,,,,,white,white,white,white,white,white,white,white,white,,,,,,,,,,,
&#9312;,10,14,,71,10,¿Considera apropiado el uso de Trombolisis vs Referencia a centro con angioplastía primaria para Reducir el riesgo de insuficiencia cardiaca sin reducción de la fracción de eyección?,Pacientes adultos con infarto agudo de miocardio,Trombolisis,Referencia a centro con angioplastía primaria,Reducir el riesgo de insuficiencia cardiaca sin reducción de la fracción de eyección,,,,,,,,,,,,,,,,,,white,white,white,white,white,white,white,white,white,,,,,,,,,,,
&#9312;,11,14,,79,11,¿Considera apropiado el uso de Trombolisis vs Placebo para Reducir el dolor precordial?,Pacientes adultos con infarto agudo de miocardio,Trombolisis,Placebo,Reducir el dolor precordial,,,,,,,,,,,,,,,,,,white,white,white,white,white,white,white,white,white,,,,,,,,,,,
&#9312;,12,14,,86,12,¿Considera apropiado el uso de Trombolisis vs Referencia a centro con angioplastía primaria para Reducir el dolor precordial?,Pacientes adultos con infarto agudo de miocardio,Trombolisis,Referencia a centro con angioplastía primaria,Reducir el dolor precordial,,,,,,,,,,,,,,,,,,white,white,white,white,white,white,white,white,white,,,,,,,,,,,
&#9312;,13,14,,93,13,¿Considera apropiado el uso de Trombolisis vs Placebo para Reducir la necesidad de inotrópicos?,Pacientes adultos con infarto agudo de miocardio,Trombolisis,Placebo,Reducir la necesidad de inotrópicos,,,,,,,,,,,,,,,,,,white,white,white,white,white,white,white,white,white,,,,,,,,,,,
&#9312;,14,14,,100,14,¿Considera apropiado el uso de Trombolisis vs Referencia a centro con angioplastía primaria para Reducir la necesidad de inotrópicos?,Pacientes adultos con infarto agudo de miocardio,Trombolisis,Referencia a centro con angioplastía primaria,Reducir la necesidad de inotrópicos,,,,,,,,,,,,,,,,,,white,white,white,white,white,white,white,white,white,,,,,,,,,,,
